Sl.No,Space,Type,Section,Name,Values
1, ,Receipts,Revenue,Tax revenue,96829.71
2, ,Receipts,Revenue,Non-tax revenue,6772.87
3, ,Receipts,Revenue,Share of Union taxes/duties,35894.83
4, ,Receipts,Revenue,Grants-in-aid,25481.25
5, ,Disbursements,Revenue,General Services,42655.05
6, ,Disbursements,Revenue,Social Services,67934.35
7, ,Disbursements,Revenue,Economic Services,48285.15
8, ,Disbursements,Revenue,Grants-in-aid,5425.31
9, ,Receipts,Capital and others,Public debt,-5.51
10, ,Receipts,Capital and others,Capital Outlay,34659.32
11, ,Receipts,Capital and others,Recoveries of Loans and Advances,31.23
12, ,Receipts,Capital and others,Public debt,41914.06
13, ,Receipts,Capital and others,Contingency Fund,0
14, ,Receipts,Capital and others,Public Account,237759.99
15, ,Disbursements,Capital and others,Opening Cash Balance,26184.05
16, ,Disbursements,Capital and others,Loans and Advances disbursed,4487.22
17, ,Disbursements,Capital and others,Repayment of public debt,11082.62
18, ,Disbursements,Capital and others,Contingency Fund,0
19, ,Disbursements,Capital and others,Public Account disbursements,234329.59
20, ,Disbursements,Capital and others,Closing Cash Balance,22003.87
